chr	pos	non_missing_samples
chr1	752566	4535
chr1	776546	4985
chr1	832918	2650
chr1	842013	4520
chr1	846864	4899
chr1	869303	3392
chr1	891021	6263
chr1	893462	890
chr1	896271	2343
chr1	903426	5202
chr1	914852	2893
chr1	949654	3129
chr1	1003629	5671
chr1	1005806	5941
chr1	1018704	5804
chr1	1021415	5317
chr1	1021658	5540
chr1	1021695	6241
chr1	1030565	5456
chr1	1031540	2738
chr1	1045331	5961
chr1	1048955	5709
chr1	1049950	5939
chr1	1060235	6280
chr1	1061166	2615
chr1	1062638	4745
chr1	1064979	4691
chr1	1066029	5040
chr1	1077064	6059
chr1	1079198	5624
chr1	1087683	3658
chr1	1090557	5379
chr1	1094738	6082
chr1	1099342	5589
chr1	1106112	5025
chr1	1106473	5906
chr1	1108637	5503
chr1	1119858	5569
chr1	1120431	5891
chr1	1121794	4641
chr1	1129122	3957
chr1	1135242	5271
chr1	1143657	2355
chr1	1151300	4296
chr1	1152631	5548
chr1	1156131	6012
chr1	1157547	5231
chr1	1158277	6217
chr1	1161780	5385
chr1	1162435	4028
chr1	1163804	5812
chr1	1170587	6268
chr1	1171683	5430
chr1	1172907	5790
chr1	1176597	4891
chr1	1192515	5840
chr1	1194804	5292
chr1	1197591	6048
chr1	1205155	4287
chr1	1206343	5955
chr1	1211292	5076
chr1	1222519	6250
chr1	1235792	6617
chr1	1235845	6126
chr1	1237604	5613
chr1	1242084	5414
chr1	1247494	4757
chr1	1249187	6214
chr1	1254255	5915
chr1	1268505	2840
chr1	1287562	6174
chr1	1297422	5584
chr1	1310924	6031
chr1	1314015	4035
chr1	1314245	5419
chr1	1316887	4169
chr1	1329803	3177
chr1	1330931	6276
chr1	1336006	6107
chr1	1340241	6579
chr1	1342612	4570
chr1	1366274	4967
chr1	1367428	5500
chr1	1373373	3865
chr1	1406874	3417
chr1	1425700	4934
chr1	1462766	5966
chr1	1470161	5441
chr1	1477108	4107
chr1	1477244	3336
chr1	1478180	5804
chr1	1485984	4494
chr1	1486834	5633
chr1	1486903	5151
chr1	1487059	6201
