chr	pos	non_missing_samples
chr17	6157	4554
chr17	6689	3078
chr17	19688	4699
chr17	24036	6659
chr17	24203	2688
chr17	27409	5479
chr17	33974	5439
chr17	36718	6510
chr17	38924	4659
chr17	49733	6286
chr17	51088	5857
chr17	52368	5446
chr17	53011	4400
chr17	58980	6083
chr17	60225	5740
chr17	60532	4668
chr17	65351	6092
chr17	66675	5478
chr17	71870	5923
chr17	73263	5192
chr17	78176	5417
chr17	81136	5447
chr17	81461	5845
chr17	82081	5862
chr17	82969	5987
chr17	83173	5995
chr17	84782	5735
chr17	86350	4512
chr17	86802	6358
chr17	87761	4805
chr17	88525	6089
chr17	88813	5207
chr17	88988	5931
chr17	90429	5731
chr17	96613	5542
chr17	108420	6634
chr17	109700	5134
chr17	109995	6125
chr17	110025	5840
chr17	110245	3422
chr17	110579	6162
chr17	111030	5059
chr17	113034	4825
chr17	113390	3476
chr17	114669	5086
chr17	119382	6024
chr17	126701	1529
chr17	128389	5911
chr17	132712	5402
chr17	135310	6359
chr17	146428	5119
chr17	152362	6034
chr17	155494	5714
chr17	158754	5544
chr17	159851	5809
chr17	163278	5548
chr17	172591	4156
chr17	172875	5203
chr17	173297	5294
chr17	173580	6329
chr17	173906	5212
chr17	174121	6146
chr17	176042	5676
chr17	177014	3005
chr17	177359	5159
chr17	179396	1219
chr17	188593	2507
chr17	198698	4413
chr17	199250	6668
chr17	200541	4161
chr17	202208	5061
chr17	203442	5431
chr17	203531	6452
chr17	204759	6146
chr17	208004	5573
chr17	208573	4895
chr17	208848	6165
chr17	210103	4711
chr17	210420	6417
chr17	212731	5086
chr17	214402	5994
chr17	216763	5018
chr17	217829	4251
chr17	218145	4511
chr17	219559	3357
chr17	222910	5840
chr17	226749	2733
chr17	228978	6212
chr17	237667	4230
chr17	241835	4045
chr17	245185	5051
chr17	245211	5545
chr17	245312	6592
chr17	251503	6282
chr17	257557	4950
chr17	259648	6391
chr17	260142	2391
chr17	260182	2636
chr17	262201	2850
chr17	262335	2824
chr17	270933	5519
chr17	273200	5287
chr17	279933	3390
chr17	285277	3507
chr17	286584	5482
chr17	287363	5708
chr17	288148	5360
chr17	288978	5374
chr17	290203	3983
chr17	291976	5009
chr17	398107	6057
chr17	400959	5850
chr17	402843	4878
chr17	404617	6503
chr17	407465	6037
chr17	410451	5199
chr17	415667	6241
chr17	418171	5926
chr17	420467	5358
chr17	422438	4566
chr17	423051	5908
chr17	426116	2575
chr17	428010	4982
chr17	428071	4918
chr17	428594	4947
chr17	430245	6010
chr17	431590	4954
chr17	434610	4911
chr17	440487	5738
chr17	441275	6235
chr17	442361	5492
chr17	443009	5381
chr17	452403	4974
chr17	452690	5848
chr17	452898	4847
chr17	452965	5494
chr17	455814	4890
chr17	457422	4571
chr17	463843	5671
chr17	465775	5140
chr17	471335	4125
chr17	477471	5639
chr17	486821	5598
chr17	488260	6350
chr17	503759	2918
chr17	504134	3651
chr17	504218	6123
chr17	504459	2563
chr17	504978	6522
chr17	505139	3668
chr17	505227	5510
chr17	505250	6171
chr17	506163	6343
chr17	507038	3727
chr17	510707	5365
chr17	511156	5657
chr17	517419	5739
chr17	524297	1625
chr17	528868	5256
chr17	533588	5329
chr17	535441	3729
chr17	535527	5248
chr17	536414	6430
chr17	544444	5625
chr17	554025	4805
chr17	554080	5565
chr17	555816	6544
chr17	563547	3200
chr17	569616	3721
chr17	574045	5011
chr17	576517	4917
chr17	576941	4613
chr17	578180	4086
chr17	579370	3527
chr17	582936	5400
chr17	585349	3075
chr17	591078	3449
chr17	598240	4482
chr17	598311	4133
chr17	599811	5143
chr17	600257	5681
chr17	608209	3163
chr17	609275	6210
chr17	609280	6164
chr17	612608	2517
chr17	613501	4019
chr17	614494	5821
chr17	618965	5138
chr17	619162	6109
chr17	619842	3812
chr17	621538	4743
chr17	624676	5147
chr17	624865	5527
chr17	629675	5169
chr17	632686	5779
chr17	633188	5643
chr17	635080	5558
chr17	636822	6390
chr17	637644	4615
chr17	643426	5552
chr17	647188	6025
chr17	648186	5686
chr17	648498	5476
chr17	649067	5214
chr17	649232	3869
chr17	651744	5727
chr17	653818	5303
chr17	655920	6366
chr17	657730	5496
chr17	663339	5724
chr17	677226	3945
chr17	677459	6511
chr17	680312	5588
chr17	684729	5636
chr17	685640	3513
chr17	685752	5840
chr17	686077	6565
chr17	692183	4491
chr17	692520	3804
chr17	693320	5930
chr17	693354	5093
chr17	696016	5218
chr17	696098	5726
chr17	698176	6156
chr17	698814	3701
chr17	700020	6226
chr17	701122	1489
chr17	704201	4254
chr17	705233	5598
chr17	705650	6415
chr17	705666	6778
chr17	705713	6710
chr17	706009	5031
chr17	706569	6612
chr17	708793	6098
chr17	712453	4761
chr17	715782	6375
chr17	719452	5535
chr17	720231	5849
chr17	721154	4591
chr17	727132	5890
chr17	728030	4973
chr17	729712	5121
chr17	731044	6195
chr17	733738	6280
chr17	733887	5642
chr17	734347	5447
chr17	734599	1998
chr17	736050	5134
chr17	736842	4872
chr17	738853	5771
chr17	740514	5012
chr17	741181	6474
chr17	745738	5490
chr17	746832	4869
chr17	746881	5515
chr17	752003	6231
chr17	752889	6512
chr17	754600	5609
chr17	755144	3549
chr17	756111	6247
chr17	762831	6304
chr17	764072	1933
chr17	768235	5971
chr17	769467	2478
chr17	770834	3991
chr17	772997	5845
chr17	773389	5781
chr17	775328	5830
chr17	778250	1956
chr17	779725	3083
chr17	779793	4257
chr17	781407	5854
chr17	782416	4106
chr17	782899	5765
chr17	782998	5161
chr17	783049	5782
chr17	783292	3197
chr17	784417	2400
chr17	784636	5412
chr17	784963	5813
chr17	786828	5092
chr17	787784	4926
chr17	788762	2765
chr17	789237	4491
chr17	790803	5239
chr17	791256	5261
chr17	793117	5812
chr17	796372	5720
chr17	799847	3393
chr17	799933	5316
chr17	804010	1576
chr17	804544	4966
chr17	809643	5112
