chr	pos	non_missing_samples
chr14	20147295	6270
chr14	20213937	2951
chr14	20215448	1439
chr14	20227924	2027
chr14	20295769	3921
chr14	20302379	5148
chr14	20302443	6078
chr14	20305431	5755
chr14	20331117	5127
chr14	20337395	5464
chr14	20343549	3207
chr14	20343911	3983
chr14	20362820	6366
chr14	20389241	5161
chr14	20402139	4055
chr14	20404091	5952
chr14	20409499	2980
chr14	20420338	5322
chr14	20423865	5253
chr14	20424912	3173
chr14	20425051	5988
chr14	20425220	5894
chr14	20426742	5257
chr14	20435805	4801
chr14	20445370	2290
chr14	20445618	1972
chr14	20445905	1664
chr14	20452460	1418
chr14	20463103	5106
chr14	20465757	3117
chr14	20466824	3405
chr14	20467330	2346
chr14	20469792	4667
chr14	20475563	2633
chr14	20480547	2789
chr14	20481594	3265
chr14	20482471	3484
chr14	20484740	3710
chr14	20484786	5141
chr14	20487364	1711
chr14	20488191	3357
chr14	20488658	5944
chr14	20489363	5218
chr14	20489393	4790
chr14	20489478	2053
chr14	20489558	5343
chr14	20489653	2792
chr14	20490465	3130
chr14	20490612	5241
chr14	20490645	4956
chr14	20492492	3050
chr14	20495913	3917
chr14	20497718	4168
chr14	20497737	4483
chr14	20498170	4972
chr14	20499341	5376
chr14	20500762	4730
chr14	20501312	5419
chr14	20501368	5158
chr14	20503541	5394
chr14	20503568	4811
chr14	20504435	1398
chr14	20505191	1300
chr14	20512610	5248
chr14	20512716	4727
chr14	20512772	6138
chr14	20512826	5066
chr14	20512828	5019
chr14	20512898	2691
chr14	20515023	5090
chr14	20515436	3268
chr14	20516012	3331
chr14	20517501	4446
chr14	20517540	5526
chr14	20518391	3570
chr14	20518618	3829
chr14	20518931	4444
chr14	20520979	1766
chr14	20521060	2605
chr14	20522692	5282
chr14	20522721	5453
chr14	20523406	4795
chr14	20524255	1619
chr14	20526831	5392
chr14	20527034	1695
chr14	20528207	2908
chr14	20528321	4525
chr14	20528528	4356
chr14	20529652	5774
chr14	20533188	5945
chr14	20533275	5385
chr14	20533586	6076
chr14	20536377	2170
chr14	20538394	2100
chr14	20539305	6191
chr14	20545088	1977
chr14	20561753	5553
chr14	20561802	5791
chr14	20562080	5955
chr14	20568700	3395
chr14	20570442	5029
chr14	20571152	4534
chr14	20578244	3985
chr14	20579247	2723
chr14	20582889	3968
chr14	20584114	1605
chr14	20584199	2736
chr14	20591214	5775
chr14	20592038	1300
chr14	20594389	795
chr14	20595252	1823
chr14	20599640	2682
chr14	20603899	1126
chr14	20606144	3455
chr14	20615688	5140
chr14	20617841	5032
chr14	20622987	5874
chr14	20632463	3038
chr14	20641690	1543
chr14	20644690	4591
chr14	20644775	3533
chr14	20645916	3052
chr14	20646485	2655
chr14	20649375	1413
chr14	20651027	1604
chr14	20651157	1217
chr14	20651901	1241
chr14	20652555	5276
chr14	20653540	1110
chr14	20654347	1615
chr14	20654962	3158
chr14	20655710	5855
chr14	20656094	5643
chr14	20656645	4282
chr14	20658607	4799
chr14	20661105	5176
chr14	20661943	1869
chr14	20663078	3308
chr14	20665362	3182
chr14	20665840	5870
chr14	20666041	3625
chr14	20666556	1870
chr14	20667084	2059
chr14	20667908	4274
chr14	20668817	1703
chr14	20669845	3026
chr14	20672016	2066
chr14	20672229	5597
chr14	20672509	4355
chr14	20673985	4301
chr14	20675194	2609
chr14	20677591	4889
chr14	20677814	6288
chr14	20678002	5999
chr14	20683044	5057
chr14	20684277	5330
chr14	20687978	2359
chr14	20688109	5461
chr14	20691610	2231
chr14	20691888	3469
