chr	pos	non_missing_samples
chr21	10205629	4022
chr21	10971951	6606
chr21	11002011	700
chr21	14601415	1700
chr21	14652908	4562
chr21	14771811	2442
chr21	14773232	2909
chr21	14847294	2274
chr21	14901920	2056
chr21	15137578	706
chr21	15181242	962
chr21	15206684	2321
chr21	15214708	3712
chr21	15231699	4175
chr21	15270083	6010
chr21	15275981	5144
chr21	15330476	5578
chr21	15331478	3448
chr21	15340098	2763
chr21	15375507	1437
chr21	15390510	4935
chr21	15400618	3531
chr21	15412399	3445
chr21	15412831	1646
chr21	15443935	6376
chr21	15445468	5427
chr21	15445694	6031
chr21	15448658	5383
chr21	15450929	4848
chr21	15454659	5481
chr21	15459127	1889
chr21	15463956	5237
chr21	15464776	2541
chr21	15467704	4040
chr21	15469264	4619
chr21	15474153	5243
chr21	15476890	4005
chr21	15478931	6174
chr21	15478975	4804
chr21	15479537	4720
chr21	15481365	2254
chr21	15482605	2993
chr21	15491250	4256
chr21	15491294	6071
chr21	15491560	5773
chr21	15491773	6325
chr21	15491871	4440
chr21	15494621	5047
chr21	15500079	4503
chr21	15501285	1733
chr21	15501522	4006
chr21	15502332	5407
chr21	15502904	5947
chr21	15504006	5929
chr21	15511035	1081
chr21	15512010	4037
chr21	15512083	4536
chr21	15514013	5031
chr21	15515843	1211
chr21	15516012	5127
chr21	15516330	5108
chr21	15518103	5744
chr21	15523797	4696
chr21	15527617	3093
chr21	15531192	1505
chr21	15534637	5634
chr21	15536548	1531
chr21	15545350	5398
chr21	15546137	4198
chr21	15546312	1450
chr21	15546445	2603
chr21	15548739	2171
chr21	15550435	2018
chr21	15551473	2759
chr21	15552993	3338
chr21	15553112	4437
chr21	15554030	2960
chr21	15559454	3379
chr21	15559681	4776
chr21	15576536	1106
chr21	15580827	3762
chr21	15584096	2383
chr21	15588213	2396
chr21	15591689	2380
chr21	15592343	5181
chr21	15593860	2531
chr21	15594371	3495
chr21	15594465	4859
chr21	15594495	3521
chr21	15594829	5627
chr21	15595195	4873
chr21	15595654	3543
chr21	15595743	3125
chr21	15596772	5176
chr21	15597894	2224
chr21	15599765	2331
chr21	15599963	4827
chr21	15601205	4051
chr21	15603589	3304
chr21	15603999	3124
chr21	15605083	5957
chr21	15605242	5642
chr21	15606128	3936
chr21	15606232	5469
chr21	15606626	4653
chr21	15607071	4749
chr21	15608979	1612
chr21	15610431	3183
chr21	15611413	4947
chr21	15611538	2690
chr21	15613560	4176
chr21	15615220	2357
chr21	15615376	5707
chr21	15615500	4535
chr21	15616680	5441
chr21	15616729	5548
chr21	15616772	5356
chr21	15618300	4852
chr21	15618450	5236
chr21	15618765	3476
chr21	15619132	2856
chr21	15620798	4515
chr21	15620866	5476
chr21	15621065	5012
chr21	15624217	4671
chr21	15624647	4135
chr21	15626660	4006
chr21	15628655	4083
chr21	15629139	5533
chr21	15630082	5702
chr21	15630812	5153
chr21	15632001	4551
chr21	15632141	3712
chr21	15632213	4501
chr21	15634304	1473
chr21	15635835	4604
chr21	15635873	3953
chr21	15636319	3730
chr21	15638745	3949
chr21	15639130	4057
chr21	15639282	4969
chr21	15641852	5355
chr21	15642676	4273
chr21	15644351	5955
chr21	15645434	2981
chr21	15645581	4933
chr21	15646060	5430
chr21	15647353	4811
chr21	15647431	3240
chr21	15648154	5265
chr21	15648179	5090
chr21	15648392	6092
chr21	15648402	6173
chr21	15648485	5130
chr21	15649232	5979
chr21	15649319	3931
chr21	15649486	4990
chr21	15649522	5894
chr21	15650119	6133
chr21	15650267	5620
chr21	15650307	6130
chr21	15650938	4860
chr21	15652160	2398
chr21	15656052	1948
chr21	15657679	5967
chr21	15657711	6504
chr21	15658373	2706
chr21	15658830	5725
chr21	15658929	3123
chr21	15659254	4824
chr21	15659354	5315
chr21	15659494	4390
chr21	15659731	1514
chr21	15660539	3002
chr21	15662385	2832
chr21	15665329	2490
chr21	15665483	5876
chr21	15667345	3742
chr21	15667833	4909
chr21	15668384	5610
chr21	15671024	1793
chr21	15671844	6092
chr21	15674596	1667
chr21	15674901	2104
chr21	15675988	3349
chr21	15676336	5491
chr21	15677245	2525
chr21	15680297	1911
chr21	15681994	1631
chr21	15682333	1781
chr21	15683130	5280
chr21	15683892	1660
chr21	15684254	4410
chr21	15684554	5875
chr21	15685452	2700
chr21	15687005	4498
chr21	15687121	5972
chr21	15687195	5070
chr21	15687493	2608
chr21	15690391	4110
chr21	15691984	2243
chr21	15692070	5669
chr21	15692536	2578
chr21	15693476	5273
chr21	15696202	5595
chr21	15696271	4581
chr21	15696315	4377
chr21	15697438	5363
chr21	15698808	2238
chr21	15705554	3553
chr21	15707829	3465
chr21	15708026	4539
chr21	15709336	3216
chr21	15711034	3741
chr21	15711540	5439
chr21	15711567	4845
chr21	15713544	3619
chr21	15714385	4137
chr21	15714776	3411
chr21	15714973	4465
chr21	15715197	5705
chr21	15717632	3779
chr21	15720403	4314
chr21	15720497	1234
chr21	15725162	3435
chr21	15725642	1819
chr21	15725868	4085
chr21	15726002	1700
chr21	15728797	3094
chr21	15729775	4342
chr21	15730137	2951
chr21	15731542	5502
chr21	15731553	5336
chr21	15732024	1595
chr21	15735675	5750
chr21	15737925	1251
chr21	15738057	2238
chr21	15739602	4751
chr21	15740108	5729
chr21	15741420	1965
chr21	15743386	2695
chr21	15745890	4311
chr21	15747503	1233
chr21	15749857	1549
chr21	15754578	5758
chr21	15755205	2332
chr21	15755349	6336
chr21	15755821	4177
chr21	15764311	5186
chr21	15765015	4829
chr21	15765129	5702
chr21	15765902	5633
chr21	15765915	5398
chr21	15787738	1807
chr21	15788373	5512
chr21	15790187	5512
chr21	15800962	3738
chr21	15808512	5027
chr21	15814864	2943
chr21	15817516	4802
chr21	15818283	6054
chr21	15819232	5077
chr21	15819721	5489
chr21	15821945	3034
chr21	15822407	5630
chr21	15824732	5485
