chr	pos	non_missing_samples
chr13	19125669	82
chr13	19210426	3615
chr13	19234747	1983
chr13	19240775	5698
chr13	19303482	5056
chr13	19311241	3459
chr13	19311780	3998
chr13	19451443	1913
chr13	19451794	4065
chr13	19451890	5092
chr13	19455957	932
chr13	19468896	6159
chr13	19496434	3660
chr13	19509431	5024
chr13	19513514	2795
chr13	19514214	3605
chr13	19523899	4676
chr13	19526947	6129
chr13	19527206	5133
chr13	19529644	5513
chr13	19534013	4011
chr13	19536546	5962
chr13	19538302	4785
chr13	19541910	1635
chr13	19542317	2167
chr13	19545037	1959
chr13	19548826	1584
chr13	19550892	5530
chr13	19550924	5863
chr13	19552050	5780
chr13	19554059	4643
chr13	19555372	3379
chr13	19555872	3789
chr13	19557010	5278
chr13	19557336	3679
chr13	19564689	4153
chr13	19564715	4396
chr13	19569428	6239
chr13	19571844	4493
chr13	19580972	2298
chr13	19581975	4490
chr13	19584385	2887
chr13	19586168	5987
chr13	19586194	5824
chr13	19588497	5737
chr13	19590336	2341
chr13	19591424	4623
chr13	19591981	4555
chr13	19592334	3523
chr13	19593241	6143
chr13	19593711	5597
chr13	19594024	1360
chr13	19596245	2871
chr13	19596332	2842
chr13	19598001	6269
chr13	19598030	6309
chr13	19611008	1782
chr13	19612262	2320
chr13	19616221	5531
chr13	19618079	1628
chr13	19618097	1884
chr13	19618304	4144
chr13	19620621	5152
chr13	19620986	4069
chr13	19622143	5687
chr13	19626818	2498
chr13	19626928	5906
chr13	19627565	1353
chr13	19628140	5736
chr13	19629479	5934
chr13	19629697	5529
chr13	19631157	5973
chr13	19631178	6073
chr13	19633215	5403
chr13	19633907	6160
chr13	19633920	6296
chr13	19636940	5028
chr13	19640445	2686
chr13	19641229	3255
chr13	19644672	4701
chr13	19645637	5780
chr13	19650222	3949
chr13	19650695	5210
chr13	19653454	5903
chr13	19655333	3542
chr13	19658933	5359
chr13	19659081	2026
chr13	19659780	5165
chr13	19660271	6004
chr13	19660641	5768
chr13	19662154	5715
chr13	19665640	5695
chr13	19666481	5321
chr13	19668347	4086
chr13	19669152	5196
chr13	19670142	4124
chr13	19675536	5038
chr13	19675630	2500
chr13	19686558	4100
chr13	19690836	5372
chr13	19699296	5969
chr13	19699339	4753
chr13	19702018	5306
chr13	19702579	2476
chr13	19702686	3529
chr13	19702924	1316
chr13	19707854	3749
chr13	19714111	5041
chr13	19714717	5570
chr13	19721890	4905
chr13	19722203	6450
chr13	19722521	5878
chr13	19724629	5959
chr13	19724838	5674
chr13	19726141	3339
chr13	19730552	6074
chr13	19732017	4791
chr13	19732341	5486
chr13	19733737	4906
chr13	19734660	6019
chr13	19734722	5588
chr13	19739165	5705
chr13	19739669	4674
chr13	19743860	5088
chr13	19744884	5291
chr13	19746027	5220
chr13	19746610	5750
chr13	19746800	5372
chr13	19747750	4502
chr13	19748709	2027
chr13	19751932	5046
chr13	19752291	5333
chr13	19752789	5751
chr13	19755548	4332
chr13	19756063	4394
chr13	19757955	2404
chr13	19758799	5973
chr13	19758911	5088
chr13	19774848	2693
chr13	19793929	1768
chr13	19812075	3100
chr13	19814912	2145
chr13	19831278	4511
chr13	19834577	3352
chr13	19835713	4255
chr13	19837438	5670
chr13	19840605	5450
chr13	19841948	5603
chr13	19842852	6237
chr13	19858410	2126
chr13	19859436	2306
chr13	19859670	1778
chr13	19865479	4069
chr13	19868583	2877
chr13	19872404	5536
chr13	19875086	5599
chr13	19880905	2852
chr13	19881074	4984
chr13	19881078	5242
chr13	19883672	4048
chr13	19885951	4330
chr13	19887014	5826
chr13	19888466	5370
chr13	19894163	5899
chr13	19894586	4117
chr13	19895384	3057
chr13	19895624	5427
chr13	19896338	6132
chr13	19900906	1573
chr13	19903159	4186
chr13	19903580	1643
chr13	19913270	2752
chr13	19920203	6043
chr13	19921106	3782
chr13	19921651	200
chr13	19921762	2665
chr13	19923128	1213
chr13	19928251	2335
chr13	19932538	1446
chr13	19933372	6219
chr13	19938534	4851
chr13	19956178	3863
chr13	19957848	3573
chr13	19969463	2185
chr13	19972233	3658
chr13	19974511	1776
chr13	19986472	5515
chr13	19988302	4001
chr13	20025375	1117
chr13	20068463	5500
chr13	20068481	5901
chr13	20068912	5390
chr13	20085213	6178
chr13	20085999	909
chr13	20097277	3955
chr13	20098553	4343
chr13	20101124	5050
chr13	20103773	5707
chr13	20104678	1089
chr13	20105471	1669
chr13	20110195	3328
chr13	20125447	3339
chr13	20131135	1632
chr13	20131796	4460
chr13	20133745	2516
chr13	20138061	2396
chr13	20138421	2708
chr13	20138645	4876
chr13	20138930	5667
chr13	20147255	4872
chr13	20147377	5945
chr13	20147509	6150
chr13	20149483	4691
chr13	20154390	5525
chr13	20159017	4688
chr13	20163708	6128
chr13	20169641	2235
chr13	20177593	4964
chr13	20181047	5025
chr13	20183017	1630
chr13	20207413	4711
chr13	20211434	1287
chr13	20212989	5074
chr13	20213340	5574
chr13	20224387	5551
chr13	20232307	3709
chr13	20233975	4962
chr13	20239913	4613
chr13	20240743	4843
chr13	20252093	3279
chr13	20252847	5365
chr13	20259463	3841
chr13	20262080	3355
chr13	20263014	1865
chr13	20264979	3681
chr13	20266124	5490
chr13	20267733	3388
chr13	20274844	1775
chr13	20287964	5101
chr13	20288081	3970
chr13	20302974	1601
chr13	20305992	2576
chr13	20309857	3482
chr13	20328143	1311
chr13	20330610	5738
chr13	20338643	2338
chr13	20355240	5412
chr13	20358616	4826
chr13	20359699	4566
chr13	20377448	2952
chr13	20392023	4855
chr13	20393811	5300
chr13	20398669	2666
chr13	20398742	2236
chr13	20402878	4357
chr13	20405635	2710
chr13	20411701	1931
chr13	20420175	4537
chr13	20420177	4530
chr13	20427358	2342
chr13	20436506	2259
chr13	20436598	4724
chr13	20440020	3960
chr13	20442134	4446
chr13	20442879	1340
chr13	20453841	3884
chr13	20458715	3476
chr13	20463867	5599
chr13	20464188	3225
chr13	20474171	3688
chr13	20474771	3503
chr13	20479624	6121
chr13	20488155	4466
chr13	20488212	4108
chr13	20488897	6004
chr13	20493020	5251
chr13	20494558	4480
chr13	20498817	2118
chr13	20507957	4705
chr13	20509203	5779
chr13	20515061	4816
chr13	20520251	5723
chr13	20523058	4033
chr13	20524705	5580
chr13	20526761	3314
chr13	20529559	4221
chr13	20530037	4769
chr13	20535071	2158
chr13	20537539	2167
chr13	20541404	2735
chr13	20543581	2105
chr13	20544881	5146
chr13	20545150	3111
chr13	20554565	1755
chr13	20555812	2569
chr13	20563229	3766
chr13	20566344	771
chr13	20572751	2047
chr13	20574373	2777
chr13	20576604	1913
chr13	20584060	3274
chr13	20591236	5400
chr13	20593977	1306
chr13	20594120	865
chr13	20596565	2782
chr13	20619425	2192
chr13	20625877	2077
chr13	20627310	5521
chr13	20628883	6078
chr13	20628887	6092
chr13	20630197	3965
chr13	20635615	1998
chr13	20637140	3810
chr13	20642012	5748
chr13	20645490	4340
chr13	20654610	3087
chr13	20656439	2302
chr13	20657188	1396
chr13	20658553	1777
chr13	20664036	877
chr13	20664819	1474
chr13	20668289	4922
chr13	20674044	3633
chr13	20676866	3968
chr13	20678392	4088
chr13	20686272	5174
chr13	20687179	4959
chr13	20687222	5454
chr13	20687836	5166
chr13	20688032	6469
chr13	20688035	6520
chr13	20688226	5860
chr13	20688590	6026
chr13	20689298	3684
chr13	20694929	5708
chr13	20695461	6129
chr13	20695554	3364
chr13	20697746	1938
chr13	20700314	5038
chr13	20700859	4749
chr13	20700928	5671
chr13	20710976	4955
chr13	20713651	5563
chr13	20715502	6093
chr13	20715539	6291
chr13	20715801	5733
chr13	20718347	6220
chr13	20719422	2627
chr13	20721985	6053
chr13	20722066	5547
chr13	20723127	3370
chr13	20724285	5990
chr13	20725636	5838
chr13	20725688	4690
chr13	20726921	3568
chr13	20728390	6169
chr13	20733403	5184
chr13	20734420	5694
chr13	20735306	5939
chr13	20736216	2790
chr13	20740681	3541
chr13	20741731	5370
chr13	20745581	2632
chr13	20745811	2530
chr13	20747640	3867
chr13	20748357	4890
chr13	20750177	5481
chr13	20750314	6096
chr13	20750776	5876
chr13	20751019	5464
chr13	20751053	6075
chr13	20752120	6168
chr13	20752163	5792
chr13	20752673	3927
chr13	20758323	4233
chr13	20761349	5645
chr13	20762956	4191
chr13	20764473	5870
chr13	20764850	6049
chr13	20764945	2551
chr13	20766130	6039
chr13	20767957	5378
chr13	20768144	5950
chr13	20769226	5598
chr13	20771321	4825
chr13	20773776	4395
chr13	20773918	2389
chr13	20779903	5622
chr13	20781879	4463
chr13	20782159	5348
chr13	20782232	6142
chr13	20784332	5738
chr13	20784429	5592
chr13	20790742	2162
chr13	20792184	4948
chr13	20793869	6237
chr13	20795603	5804
chr13	20801273	2540
chr13	20812563	3794
chr13	20812795	5370
chr13	20813670	5266
chr13	20814559	5872
chr13	20815271	3829
chr13	20815766	5578
chr13	20815848	5472
chr13	20815937	6324
chr13	20817263	3959
chr13	20820551	3967
chr13	20822161	6042
chr13	20822728	4362
chr13	20824043	3168
chr13	20825404	1723
chr13	20830512	4974
chr13	20830555	4833
chr13	20830595	3617
chr13	20836930	5600
chr13	20838219	6161
chr13	20838486	4627
chr13	20839963	6120
chr13	20840004	6145
chr13	20841770	2919
chr13	20845129	930
chr13	20845580	5381
chr13	20846172	5441
chr13	20847019	6241
chr13	20847083	5508
chr13	20847138	6017
chr13	20848317	6317
chr13	20854596	3002
chr13	20854763	2841
chr13	20859837	5188
chr13	20864572	2614
chr13	20867192	2704
chr13	20868060	3940
chr13	20868978	5027
chr13	20869770	4847
chr13	20871295	6126
chr13	20871318	5745
chr13	20873418	5821
chr13	20874910	1925
chr13	20877837	4662
chr13	20877866	4629
chr13	20880516	5359
chr13	20881146	2552
chr13	20881255	1769
chr13	20882523	6078
chr13	20887860	2957
chr13	20890720	2477
chr13	20891653	4986
chr13	20891858	3617
chr13	20892442	5800
chr13	20892604	5460
chr13	20893501	3409
chr13	20893639	5192
chr13	20894617	5724
chr13	20896618	5502
chr13	20897528	5513
chr13	20897841	3454
chr13	20897955	5908
chr13	20898058	5147
chr13	20899846	6169
chr13	20900169	6049
chr13	20900869	6107
chr13	20902018	3533
