chr	pos	non_missing_samples
chr9	185016	1
chr9	204201	4337
chr9	204485	3905
chr9	205964	2615
chr9	206132	3588
chr9	206255	4804
chr9	208549	3120
chr9	209325	6251
chr9	209403	5816
chr9	212486	5694
chr9	212761	4525
chr9	212908	3302
chr9	214706	3258
chr9	215269	4943
chr9	215534	4607
chr9	216124	3517
chr9	217247	5885
chr9	217269	5969
chr9	217597	3140
chr9	219528	1775
chr9	223332	4076
chr9	223979	1983
chr9	224227	1692
chr9	224742	5830
chr9	224781	5447
chr9	224976	4433
chr9	225268	5153
chr9	227980	4456
chr9	228301	2091
chr9	228848	6541
chr9	229826	3940
chr9	236827	6454
chr9	236828	6471
chr9	237136	3041
chr9	237988	3134
chr9	238389	4190
chr9	240321	2140
chr9	240571	1292
chr9	244457	4563
chr9	244592	3951
chr9	245116	6020
chr9	245706	3636
chr9	245752	3648
chr9	245838	5431
chr9	247174	1533
chr9	248030	4497
chr9	248039	4585
chr9	248749	5683
chr9	249281	5803
chr9	249391	4931
chr9	249992	4497
chr9	250522	4715
chr9	250609	4734
chr9	250889	5336
chr9	251568	5563
chr9	251664	4510
chr9	253594	2222
chr9	256995	5850
chr9	257034	5264
chr9	257349	5491
chr9	257973	5539
chr9	257985	5643
chr9	258186	4147
chr9	258372	3623
chr9	261460	1696
chr9	264347	4668
chr9	264519	3552
chr9	266505	4121
chr9	266708	5468
chr9	266999	6138
chr9	268740	6230
chr9	269008	3250
chr9	269510	2314
chr9	270321	5136
chr9	270422	5915
chr9	271091	5297
chr9	271132	4863
chr9	271228	6647
chr9	271455	4785
chr9	271467	4990
chr9	272191	2896
chr9	272325	5469
chr9	273160	967
chr9	274108	4317
chr9	274433	4045
chr9	274641	1936
chr9	279149	5071
chr9	279753	4150
chr9	280318	3606
chr9	281845	5311
chr9	281976	5057
chr9	282738	3427
chr9	283138	5602
chr9	284370	4072
chr9	286102	3746
chr9	286291	4372
chr9	286491	5460
chr9	286593	5426
chr9	289061	4263
chr9	290670	5015
chr9	290841	4336
chr9	293360	5768
chr9	297393	4748
chr9	297394	4720
chr9	298719	3344
chr9	299315	3257
chr9	303639	5441
chr9	303727	3633
chr9	303851	3896
chr9	304957	3752
chr9	305642	1478
chr9	305667	1647
chr9	305978	5851
chr9	306277	5455
chr9	306906	5757
chr9	307197	5723
chr9	307266	5175
chr9	312124	5409
chr9	312264	3465
chr9	313666	6104
chr9	314464	2818
chr9	316217	5926
chr9	316515	5507
chr9	317269	6037
chr9	317417	3062
chr9	318207	2066
chr9	318860	5191
chr9	318861	5210
chr9	327155	6021
chr9	327782	3205
chr9	328488	4120
chr9	328634	4515
chr9	329462	2368
chr9	329830	1727
chr9	331490	4059
chr9	333819	2068
chr9	334016	1550
chr9	334337	3664
chr9	334708	2802
chr9	335387	3429
chr9	335484	6139
chr9	335545	5496
chr9	336186	4546
chr9	341063	2966
chr9	343981	5378
chr9	344229	5763
chr9	344332	2328
chr9	344508	6097
chr9	344535	5725
chr9	345596	2730
chr9	345900	5792
chr9	346691	4752
chr9	347559	4171
chr9	348303	5984
chr9	348708	1587
chr9	348772	4930
chr9	349518	2315
chr9	350054	5734
chr9	351115	5852
chr9	351793	5353
