0.5	chr9	1278094	1172670	1291016
0.5	chr7	1683111	1532614	1696345
0.5	chr8	1897128	1736726	1914400
0.6	chr9	988834	928728	994470
0.6	chr7	1326624	1235833	1333874
0.6	chr8	1473663	1374888	1482814
0.7	chr9	781087	746994	782493
0.5	chr5	2119819	1919342	2148789
0.5	chr1	2395493	2207512	2417822
0.5	chr4	2303396	2089701	2328993
0.5	chr6	2394402	2147961	2427258
0.7	chr7	1057394	1005742	1060991
0.7	chr8	1155521	1096489	1160427
0.8	chr9	603278	586865	603679
0.5	chr3	2358446	2138370	2392691
0.5	chr2	2840768	2565773	2876485
0.9	chr9	430261	424244	430339
0.8	chr7	829482	800439	830693
0.8	chr8	888187	855650	890463
0.9	chr7	601535	589697	602054
0.9	chr8	640419	626730	640929
0.6	chr6	1869231	1713448	1884010
0.6	chr1	1891729	1781750	1903681
0.6	chr5	1650516	1521923	1666539
0.6	chr4	1821023	1687821	1833215
0.6	chr3	1858587	1722179	1878332
0.7	chr1	1531463	1465723	1537819
0.6	chr2	2225291	2055676	2242268
0.7	chr6	1493424	1397657	1501363
0.7	chr5	1311840	1232679	1320349
0.7	chr4	1454964	1377205	1460479
0.8	chr1	1218032	1182251	1220390
0.7	chr3	1491882	1409798	1501481
0.8	chr6	1163367	1110888	1166074
0.7	chr2	1762602	1665248	1770054
0.8	chr5	1026745	982329	1030022
0.8	chr4	1143155	1102590	1145657
0.9	chr6	856103	828322	857340
0.8	chr3	1164540	1119536	1169386
0.9	chr1	892043	875710	892824
0.5	chr10	1637719	1482439	1648897
0.9	chr5	742263	723859	743207
0.5	chr11	1613144	1492836	1620705
0.9	chr4	830580	815221	831430
0.9	chr3	837075	818137	838732
0.8	chr2	1371961	1321488	1374737
0.6	chr10	1285235	1192492	1291526
0.6	chr11	1272511	1201258	1275891
0.7	chr10	1024194	972931	1027028
0.5	chr15	827941	744344	837840
0.5	chr14	953097	858537	965811
0.6	chr15	640398	589888	645614
0.7	chr11	1023582	982821	1024894
0.6	chr14	747911	688873	754868
0.5	chr13	1088790	987945	1096781
0.7	chr15	504447	474944	506889
0.7	chr14	591974	559332	595587
0.8	chr10	813591	785905	814940
0.5	chr12	1341889	1205885	1364130
0.8	chr15	390929	377118	391772
0.9	chr2	982357	964140	982961
0.8	chr14	462945	444997	464333
0.9	chr15	278192	272466	278357
0.8	chr11	805454	783833	805905
0.9	chr14	337551	329881	338203
0.6	chr13	852867	790951	856809
0.9	chr10	596155	585121	596429
0.5	chr17	688250	632774	692871
0.5	chr19	320428	298275	323240
0.5	chr16	782363	714672	797673
0.6	chr12	1059156	972252	1070675
0.6	chr17	561541	522803	563652
0.5	chr18	904212	819969	915880
0.7	chr13	668492	634483	670148
0.9	chr11	588624	581342	588723
0.6	chr19	253660	239409	255129
0.5	chr20	681461	620188	688812
0.7	chr17	458230	433654	459172
0.6	chr16	605331	562059	613741
0.5	chr21	370286	329614	371284
0.5	chr22	300424	271869	308072
0.6	chr18	708752	655231	715859
0.7	chr19	207336	198849	208207
0.8	chr17	372572	357475	372829
0.6	chr21	294158	268639	294684
0.6	chr22	235778	217868	242182
0.6	chr20	535012	496107	538725
0.7	chr21	234078	219542	234311
0.8	chr13	522280	504168	522990
0.8	chr19	166760	161822	167287
0.7	chr12	850825	798301	855341
0.7	chr22	190451	178540	193290
0.9	chr17	280097	275866	280140
0.7	chr16	481621	454407	486081
0.8	chr21	182197	173306	182326
0.7	chr18	563421	530792	567171
0.8	chr22	149671	142483	150340
0.9	chr21	133678	128804	133722
0.7	chr20	426810	404103	428397
0.9	chr19	125807	123546	126040
0.9	chr22	106715	103829	106811
0.8	chr16	373545	356951	375053
0.9	chr13	383186	374664	383483
0.8	chr18	446461	427406	447813
0.8	chr20	338353	326652	338663
0.5	chrX	1002185	1002171	1042276
0.8	chr12	670995	641486	672728
0.9	chr16	260079	253379	260558
0.9	chr20	242227	238114	242448
0.9	chr18	321224	314015	321579
0.6	chrX	800175	800166	827736
0.9	chr12	493323	478751	493745
0.7	chrX	649284	649277	665814
0.8	chrX	516062	516057	523963
0.9	chrX	370199	370195	372474
